,word,corpus,iliad,odyssey
2369,Εὖρός,4,2,2
2370,Νότος,10,4,6
2371,ὤρορ,1,1,0
2372,ἐπαΐξας,8,8,0
2373,νεφελάων,1,1,0
2374,κινήσῃ,4,4,0
2375,Ζέφυρος,7,3,4
2376,βαθύ,3,2,1
2377,λήϊον,2,2,0
2378,λάβρος,2,2,0
2379,ἐπαιγίζων,1,1,0
2380,ἠμύει,1,1,0
2381,ἀσταχύεσσιν,1,1,0
2382,πᾶσ,4,2,2
2383,ἀλαλητῷ,7,6,1
2384,ἔπ,6,2,4
2385,ἐσσεύοντο,8,6,2
2386,ποδῶν,23,16,7
2387,ὑπένερθε,9,6,3
2388,κονίη,4,3,1
2389,ἵστατ,6,6,0
2390,ἀειρομένη,2,2,0
2391,ἀλλήλοισι,25,19,6
2392,κέλευον,2,2,0
2393,ἅπτεσθαι,3,1,2
2394,νηῶν,83,68,15
2395,ἑλκέμεν,6,6,0
2396,οὐρούς,1,1,0
2397,ἐξεκάθαιρον,1,1,0
2398,ἀϋτή,11,9,2
2399,οἴκαδε,24,6,18
2400,ἱεμένων,5,4,1
2401,ᾕρεον,4,3,1
2402,Ἀργείοισιν,40,34,6
2403,ὑπέρμορα,1,1,0
2404,νόστος,6,2,4
2405,ἐτύχθη,17,10,7
2406,Ἀτρυτώνη,7,5,2
2407,Ἀργεῖοι,46,38,8
2408,φεύξονται,1,1,0
2409,εὐρέα,17,7,10
2410,νῶτα,20,8,12
2411,κάδ,56,33,23
2412,εὐχωλήν,3,3,0
2413,Πριάμῳ,15,15,0
2414,λίποιεν,2,2,0
2415,Ἀργείην,9,8,1
2416,Ἑλένην,19,17,2
2417,ἧς,32,15,17
2418,Τροίῃ,30,19,11
2419,ἀπόλοντο,5,2,3
2420,φίλης,11,7,4
2421,πατρίδος,22,8,14
2422,αἴης,19,7,12
2423,ἀγανοῖς,9,4,5
2424,ἐρήτυε,3,2,1
2425,φῶτα,15,8,7
2426,ἕκαστον,27,18,9
2427,ἀμφιελίσσας,9,5,4
2428,ἀΐξασα,8,7,1
2429,Ὀδυσῆα,59,9,50
2430,μῆτιν,26,16,10
2431,ἀτάλαντον,7,7,0
2432,ἑσταότ,15,13,2
2433,ἐϋσσέλμοιο,4,3,1
2434,μελαίνης,8,4,4
2435,ἅπτετ,1,1,0
2436,ἀγχοῦ,28,19,9
2437,ἱσταμένη,14,12,2
2438,Λαερτιάδη,22,8,14
2439,πολυμήχαν,22,7,15
2440,Ὀδυσσεῦ,30,7,23
2441,φεύξεσθ,2,2,0
2442,νήεσσι,27,18,9
2443,πεσόντες,1,1,0
2444,λίποιτε,1,1,0
2445,μηδ,53,26,27
2446,ἐρώει,2,2,0
2447,φάθ,16,8,8
2448,θεᾶς,12,9,3
2449,ὄπα,12,8,4
2450,φωνησάσης,3,2,1
2451,θέειν,11,7,4
2452,χλαῖναν,19,2,17
2453,κόμισσε,3,1,2
2454,κῆρυξ,35,11,24
2455,Εὐρυβάτης,3,2,1
2456,Ἰθακήσιος,3,1,2
2457,ὀπήδει,2,1,1
2458,Ἀτρεΐδεω,7,5,2
2459,ἀντίος,24,21,3
2460,δέξατό,1,1,0
2461,ἔξοχον,14,10,4
2462,κιχείη,3,2,1
2463,ἐρητύσασκε,2,2,0
2464,παραστάς,26,17,9
2465,δαιμόνι,9,6,3
2466,δειδίσσεσθαι,1,1,0
2467,ἵδρυε,1,1,0
2468,σάφα,21,9,12
2469,οἶσθ,4,3,1
2470,οἷος,30,13,17
2471,νόος,40,22,18
2472,Ἀτρεΐωνος,1,1,0
2473,πειρᾶται,1,1,0
2474,τάχα,65,33,32
2475,ἴψεται,1,1,0
2476,βουλῇ,18,10,8
2477,ἀκούσαμεν,2,1,1
2478,ἔειπε,39,18,21
2479,χολωσάμενος,6,4,2
2480,ῥέξῃ,2,1,1
2481,τιμή,4,4,0
2482,φιλεῖ,5,5,0
2483,δήμου,8,5,3
2484,ἴδοι,8,6,2
2485,βοόωντά,1,1,0
2486,ἐφεύροι,5,4,1
2487,ἐλάσασκεν,1,1,0
2488,ὁμοκλήσασκέ,1,1,0
2489,ἀτρέμας,8,6,2
2490,ἧσο,5,3,2
2491,ἄκουε,1,1,0
2492,σέο,21,18,3
2493,φέρτεροί,8,4,4
2494,εἰσι,28,16,12
2495,ἀπτόλεμος,1,1,0
2496,ἄναλκις,2,2,0
2497,πολέμῳ,20,15,5
2498,ἐναρίθμιος,1,1,0
2499,βασιλεύσομεν,1,1,0
2500,ἀγαθόν,28,20,8
2501,πολυκοιρανίη,1,1,0
2502,κοίρανος,2,1,1
2503,Κρόνου,15,14,1
2504,πάϊς,78,51,27
2505,ἀγκυλομήτεω,8,7,1
2506,σκῆπτρόν,2,2,0
2507,ἵνά,3,3,0
2508,σφισι,19,12,7
2509,βουλεύῃσι,1,1,0
2510,κοιρανέων,2,2,0
2511,δίεπε,1,1,0
2512,ἠχῇ,10,8,2
2513,αἰγιαλῷ,2,2,0
2514,μεγάλῳ,24,21,3
2515,βρέμεται,2,2,0
2516,σμαραγεῖ,2,2,0
2517,πόντος,7,3,4
2518,ἕζοντο,6,1,5
2519,Θερσίτης,2,2,0
2520,μοῦνος,14,8,6
2521,ἀμετροεπής,1,1,0
2522,ἐκολῴα,1,1,0
2523,ἄκοσμά,1,1,0
2524,κόσμον,15,9,6
2525,βασιλεῦσιν,5,4,1
2526,εἴσαιτο,1,1,0
2527,γελοίϊον,1,1,0
2528,αἴσχιστος,1,1,0
2529,φολκός,1,1,0
2530,ἔην,73,37,36
2531,χωλός,2,1,1
2532,ἕτερον,11,7,4
2533,πόδα,7,4,3
2534,ὤμω,4,4,0
2535,κυρτώ,1,1,0
2536,στῆθος,30,24,6
2537,συνοχωκότε,1,1,0
2538,ὕπερθε,14,11,3
2539,φοξός,1,1,0
2540,κεφαλήν,35,15,20
2541,ψεδνή,1,1,0
2542,ἐπενήνοθε,2,2,0
2543,λάχνη,2,2,0
2544,μάλιστ,9,6,3
2545,Ὀδυσῆϊ,22,6,16
2546,νεικείεσκε,2,2,0
2547,ὀξέα,12,9,3
2548,κεκλήγων,6,6,0
2549,λέγ,1,1,0
2550,κοτέοντο,1,1,0
2551,νεμέσσηθέν,1,1,0
2552,βοῶν,43,21,22
2553,νείκεε,2,1,1
2554,τέο,3,2,1
2555,ἐπιμέμφεαι,2,1,1
2556,χατίζεις,1,1,0
2557,πλεῖαί,2,2,0
2558,χαλκοῦ,11,8,3
2559,κλισίαι,2,2,0
2560,γυναῖκες,28,14,14
2561,εἰσίν,23,7,16
2562,κλισίῃς,3,3,0
2563,ἐξαίρετοι,2,1,1
2564,ἅς,34,28,6
2565,πρωτίστῳ,2,2,0
2566,δίδομεν,3,2,1
2567,ἕλωμεν,3,3,0
2568,χρυσοῦ,12,8,4
2569,ἐπιδεύεαι,2,2,0
2570,οἴσει,3,2,1
2571,ἱπποδάμων,9,9,0
2572,υἷος,14,11,3
2573,δήσας,2,1,1
2574,ἀγάγω,1,1,0
2575,γυναῖκα,23,8,15
2576,νέην,2,1,1
2577,μίσγεαι,1,1,0
2578,φιλότητι,28,16,12
2579,ἀπονόσφι,4,1,3
2580,κατίσχεαι,1,1,0
2581,ἔοικεν,15,9,6
2582,ἀρχόν,11,9,2
2583,ἐπιβασκέμεν,1,1,0
2584,πέπονες,2,2,0
2585,ἐλέγχε,1,1,0
2586,Ἀχαιΐδες,4,3,1
2587,οὐκέτ,29,15,14
2588,οἴκαδέ,6,2,4
2589,νεώμεθα,6,6,0
2590,τόνδε,15,10,5
2591,ἐῶμεν,2,1,1
2592,γέρα,3,2,1
2593,πεσσέμεν,1,1,0
2594,ἴδηται,11,6,5
2595,χἠμεῖς,1,1,0
2596,προσαμύνομεν,1,1,0
2597,οὐκί,10,6,4
2598,ἕο,12,5,7
2599,ἀμείνονα,6,5,1
2600,μεθήμων,1,1,0
2601,νεικείων,4,3,1
2602,παρίστατο,13,9,4
2603,χαλεπῷ,2,2,0
2604,ἠνίπαπε,6,4,2
2605,Θερσῖτ,1,1,0
2606,ἀκριτόμυθε,1,1,0
2607,φημί,14,12,2
2608,χερειότερον,1,1,0
2609,βροτόν,6,3,3
2610,ἄλλον,72,39,33
2611,Ἀτρεΐδῃς,5,5,0
2612,βασιλῆας,6,4,2
2613,στόμ,3,2,1
2614,ἀγορεύοις,2,1,1
2615,ὀνείδεά,1,1,0
2616,προφέροις,1,1,0
2617,νόστόν,2,2,0
2618,φυλάσσοις,2,1,1
2619,νοστήσομεν,1,1,0
2620,ἧσαι,1,1,0
2621,ὀνειδίζων,3,2,1
2622,διδοῦσιν,4,2,2
2623,κερτομέων,2,1,1
2624,ἀφραίνοντα,1,1,0
2625,κιχήσομαι,3,2,1
2626,μηκέτ,5,2,3
2627,ἐπείη,1,1,0
2628,Τηλεμάχοιο,16,2,14
2629,κεκλημένος,2,1,1
2630,εἴην,8,5,3
2631,λαβών,38,24,14
2632,εἵματα,47,7,40
2633,δύσω,1,1,0
2634,χλαῖνάν,16,1,15
2635,αἰδῶ,7,6,1
2636,ἀμφικαλύπτει,1,1,0
2637,κλαίοντα,2,2,0
2638,ἀφήσω,1,1,0
2639,πεπλήγων,2,2,0
2640,ἀγορῆθεν,2,1,1
2641,ἀεικέσσι,1,1,0
2642,πληγῇσιν,4,2,2
2643,μετάφρενον,9,8,1
2644,πλῆξεν,4,3,1
2645,ἰδνώθη,2,2,0
2646,θαλερόν,17,5,12
2647,ἔκπεσε,13,9,4
2648,σμῶδιξ,1,1,0
2649,αἱματόεσσα,2,2,0
2650,μεταφρένου,1,1,0
2651,ἐξυπανέστη,1,1,0
2652,σκήπτρου,1,1,0
2653,ὕπο,39,25,14
2654,χρυσέου,2,2,0
2655,τάρβησέν,2,2,0
2656,ἀλγήσας,3,3,0
2657,ἀχρεῖον,2,1,1
2658,ἀπομόρξατο,3,1,2
2659,ἀχνύμενοί,9,7,2
2660,αὐτῷ,166,97,69
2661,ἡδύ,25,6,19
2662,γέλασσαν,4,2,2
2663,εἴπεσκεν,15,9,6
2664,πλησίον,19,8,11
2665,ἐσθλά,16,7,9
2666,ἔοργε,5,5,0
2667,ἐξάρχων,1,1,0
2668,ἀγαθάς,1,1,0
2669,πόλεμόν,11,8,3
2670,κορύσσων,1,1,0
2671,ἔρεξεν,4,2,2
2672,λωβητῆρα,1,1,0
2673,ἐπεσβόλον,1,1,0
2674,ἔσχ,3,2,1
2675,ἀγοράων,2,1,1
2676,θήν,7,6,1
2677,ἀνήσει,1,1,0
2678,ἀγήνωρ,25,10,15
2679,νεικείειν,2,2,0
2680,φάσαν,7,2,5
2681,πληθύς,2,2,0
2682,πτολίπορθος,6,3,3
2683,εἰδομένη,11,2,9
2684,κήρυκι,4,3,1
2685,σιωπᾶν,1,1,0
2686,ἀνώγει,42,21,21
2687,πρῶτοί,1,1,0
2688,ὕστατοι,1,1,0
2689,ἐπιφρασσαίατο,1,1,0
2690,ἐθέλουσιν,4,2,2
2691,ἐλέγχιστον,2,2,0
2692,θέμεναι,7,4,3
2693,μερόπεσσι,1,1,0
2694,βροτοῖσιν,18,9,9
2695,ἐκτελέουσιν,2,1,1
2696,ὑπόσχεσιν,2,1,1
2697,ὑπέσταν,1,1,0
2698,στείχοντες,2,1,1
2699,Ἄργεος,15,9,6
2700,ἱπποβότοιο,9,5,4
2701,νεαροί,1,1,0
2702,χῆραί,1,1,0
2703,ἀλλήλοισιν,34,25,9
2704,ὀδύρονται,2,2,0
2705,πόνος,14,11,3
2706,ἀνιηθέντα,1,1,0
2707,ἕνα,22,15,7
2708,μῆνα,4,1,3
2709,ἀλόχοιο,9,5,4
2710,ἀσχαλάᾳ,2,1,1
2711,πολυζύγῳ,1,1,0
2712,ἄελλαι,8,3,5
2713,χειμέριαι,1,1,0
2714,εἰλέωσιν,1,1,0
2715,ὀρινομένη,1,1,0
2716,θάλασσα,13,5,8
2717,εἴνατός,1,1,0
2718,περιτροπέων,1,1,0
2719,ἐνιαυτός,2,1,1
2720,μιμνόντεσσι,1,1,0
2721,νεμεσίζομ,1,1,0
2722,ἀσχαλάαν,1,1,0
2723,δηρόν,38,24,14
2724,κενεόν,2,1,1
2725,τλῆτε,1,1,0
2726,μείνατ,1,1,0
2727,χρόνον,29,10,19
2728,δαῶμεν,1,1,0
2729,ἐτεόν,21,11,10
2730,μαντεύεται,1,1,0
2731,οὕς,59,41,18
2732,κῆρες,7,6,1
2733,θανάτοιο,41,24,17
2734,φέρουσαι,5,3,2
2735,χθιζά,1,1,0
2736,πρωΐζ,1,1,0
2737,Αὐλίδα,2,2,0
2738,νῆες,52,33,19
2739,ἠγερέθοντο,13,5,8
2740,κακά,125,41,84
2741,κρήνην,5,2,3
2742,ἱερούς,2,2,0
2743,βωμούς,1,1,0
2744,ἕρδομεν,2,2,0
2745,πλατανίστῳ,1,1,0
2746,ὅθεν,15,6,9
2747,ἀγλαόν,17,8,9
2748,ὕδωρ,75,31,44
2749,ἐφάνη,6,4,2
2750,σῆμα,29,20,9
2751,δράκων,5,4,1
2752,δαφοινός,1,1,0
2753,σμερδαλέος,3,1,2
2754,βωμοῦ,1,1,0
2755,ὑπαΐξας,1,1,0
2756,πλατάνιστον,1,1,0
2757,ὄρουσεν,6,6,0
2758,στρουθοῖο,3,3,0
2759,νεοσσοί,1,1,0
2760,ὄζῳ,2,2,0
2761,ἀκροτάτῳ,3,2,1
2762,πετάλοις,1,1,0
2763,ὑποπεπτηῶτες,1,1,0
2764,ὀκτώ,5,3,2
2765,ἐνάτη,2,2,0
2766,ἐλεεινά,3,3,0
2767,κατήσθιε,2,1,1
2768,τετριγῶτας,1,1,0
2769,ἀμφεποτᾶτο,1,1,0
2770,ὀδυρομένη,6,2,4
2771,ἐλελιξάμενος,1,1,0
2772,πτέρυγος,2,2,0
2773,ἀμφιαχυῖαν,1,1,0
2774,φάγε,2,2,0
2775,ἀρίζηλον,1,1,0
2776,θῆκεν,30,12,18
2777,ἔφηνε,3,2,1
2778,λᾶαν,9,5,4
2779,ἑσταότες,9,7,2
2780,θαυμάζομεν,3,3,0
2781,δεινά,6,5,1
2782,πέλωρα,2,1,1
2783,εἰσῆλθ,1,1,0
2784,ἄνεῳ,6,3,3
2785,ἐγένεσθε,1,1,0
2786,κομόωντες,19,18,1
2787,τέρας,13,7,6
2788,ὄψιμον,1,1,0
2789,ὀψιτέλεστον,1,1,0
2790,ὅου,2,1,1
2791,κλέος,61,27,34
2792,ὀλεῖται,3,2,1
2793,οὗτος,34,14,20
2794,τοσσαῦτ,1,1,0
2795,ἔτεα,1,1,0
2796,πτολεμίξομεν,1,1,0
2797,δεκάτῳ,5,2,3
2798,κεῖνος,57,18,39
2799,τώς,5,3,2
2800,τελεῖται,6,2,4
2801,μίμνετε,4,3,1
2802,ἄστυ,106,75,31
2803,ἴαχον,7,7,0
2804,σμερδαλέον,17,12,5
2805,κονάβησαν,2,2,0
2806,ἀϋσάντων,3,3,0
2807,ἐπαινήσαντες,1,1,0
2808,Ὀδυσσῆος,78,7,71
2809,θείοιο,43,16,27
2810,μετέειπε,38,14,24
2811,Γερήνιος,36,25,11
2812,ἱππότα,37,27,10
2813,παισίν,7,6,1
2814,ἐοικότες,18,14,4
2815,ἀγοράασθε,1,1,0
2816,νηπιάχοις,1,1,0
2817,μέλει,8,6,2
2818,πολεμήϊα,7,7,0
2819,πῇ,17,11,6
2820,συνθεσίαι,1,1,0
2821,βήσεται,1,1,0
2822,βουλαί,1,1,0
2823,γενοίατο,4,1,3
2824,μήδεά,3,1,2
2825,σπονδαί,2,2,0
2826,ἄκρητοι,2,2,0
2827,δεξιαί,2,2,0
2828,ἐπέπιθμεν,3,3,0
2829,ἐπέεσσ,3,3,0
2830,ἐριδαίνομεν,3,1,2
2831,μῆχος,4,2,2
2832,εὑρέμεναι,4,1,3
2833,δυνάμεσθα,4,1,3
2834,ἔθ,5,3,2
2835,ἀστεμφέα,1,1,0
2836,ἄρχευ,1,1,0
2837,τούσδε,6,3,3
2838,φθινύθειν,1,1,0
2839,βουλεύωσ,1,1,0
2840,ἄνυσις,1,1,0
2841,γνώμεναι,4,3,1
2842,ψεῦδος,4,2,2
2843,ὑπόσχεσις,1,1,0
2844,ὑπερμενέα,2,2,0
2845,ὠκυπόροισιν,2,2,0
2846,ἔβαινον,8,3,5
2847,φόνον,26,14,12
2848,κῆρα,34,18,16
2849,φέροντες,15,8,7
2850,ἀστράπτων,1,1,0
2851,ἐπιδέξι,1,1,0
2852,ἐναίσιμα,4,2,2
2853,σήματα,7,5,2
2854,φαίνων,4,3,1
2855,ἐπειγέσθω,2,2,0
2856,κατακοιμηθῆναι,1,1,0
2857,τίσασθαι,7,5,2
2858,Ἑλένης,14,10,4
2859,ὁρμήματά,2,2,0
2860,ἁπτέσθω,1,1,0
2861,πρόσθ,23,19,4
2862,θάνατον,40,18,22
2863,πότμον,34,12,22
2864,ἐπίσπῃ,4,3,1
2865,μήδεο,1,1,0
2866,πείθεό,1,1,0
2867,ἀπόβλητον,1,1,0
2868,κρῖν,1,1,0
2869,ἄνδρας,43,27,16
2870,φῦλα,11,10,1
2871,φρήτρας,1,1,0
2872,Ἀγάμεμνον,13,10,3
2873,φρήτρη,1,1,0
2874,φρήτρηφιν,1,1,0
2875,ἀρήγῃ,1,1,0
2876,φύλοις,1,1,0
2877,ἕρξῃς,1,1,0
2878,πείθωνται,1,1,0
2879,γνώσῃ,1,1,0
2880,ἡγεμόνων,6,6,0
2881,κακός,27,15,12
2882,ἐσθλός,25,16,9
2883,ἔῃσι,1,1,0
2884,σφέας,15,4,11
2885,μαχέονται,1,1,0
2886,γνώσεαι,3,2,1
2887,θεσπεσίῃ,13,8,5
2888,ἀλαπάξεις,1,1,0
2889,κακότητι,8,3,5
2890,ἀφραδίῃ,1,1,0
2891,μάν,24,22,2
2892,ἀγορῇ,19,15,4
2893,νικᾷς,1,1,0
2894,Ἀθηναίη,53,28,25
2895,Ἄπολλον,10,4,6
2896,τοιοῦτοι,4,3,1
2897,δέκα,19,14,5
2898,συμφράδμονες,1,1,0
2899,εἶεν,10,4,6
2900,ἠμύσειε,2,2,0
2901,πόλις,28,17,11
2902,ἡμετέρῃσιν,4,4,0
2903,ἁλοῦσά,3,3,0
2904,περθομένη,3,3,0
2905,αἰγίοχος,3,2,1
2906,ἀπρήκτους,2,1,1
2907,ἔριδας,2,2,0
2908,νείκεα,7,5,2
2909,βάλλει,3,3,0
2910,μαχεσσάμεθ,1,1,0
2911,ἀντιβίοις,3,1,2
2912,ἦρχον,7,5,2
2913,χαλεπαίνων,2,2,0
2914,ἔς,13,4,9
2915,μίαν,7,4,3
2916,βουλεύσομεν,2,2,0
2917,Τρωσίν,34,33,1
2918,ἀνάβλησις,2,2,0
2919,κακοῦ,8,7,1
2920,ἠβαιόν,7,5,2
2921,ἔρχεσθ,10,6,4
2922,δεῖπνον,30,11,19
2923,ξυνάγωμεν,2,2,0
2924,Ἄρηα,36,32,4
2925,δόρυ,59,51,8
2926,θηξάσθω,1,1,0
2927,ἀσπίδα,36,35,1
2928,θέσθω,1,1,0
2929,ἵπποισιν,16,15,1
2930,δότω,5,4,1
2931,ὠκυπόδεσσιν,2,2,0
2932,ἅρματος,4,4,0
2933,μεδέσθω,1,1,0
2934,στυγερῷ,5,4,1
2935,κρινώμεθ,1,1,0
2936,Ἄρηϊ,28,26,2
2937,παυσωλή,1,1,0
2938,μετέσσεται,1,1,0
2939,νύξ,42,28,14
2940,διακρινέει,1,1,0
2941,ἱδρώσει,2,2,0
2942,τευ,20,8,12
2943,τελαμών,3,2,1
2944,στήθεσφιν,9,8,1
2945,ἀσπίδος,19,19,0
2946,ἀμφιβρότης,3,3,0
2947,ἔγχεϊ,47,42,5
2948,καμεῖται,1,1,0
2949,ἵππος,9,9,0
2950,ἐΰξοον,12,5,7
2951,ἅρμα,13,13,0
2952,τιταίνων,3,3,0
2953,μάχης,71,71,0
2954,νοήσω,4,4,0
2955,μιμνάζειν,2,2,0
2956,ἄρκιον,2,2,0
2957,ἐσσεῖται,2,2,0
2958,φυγέειν,5,3,2
2959,οἰωνούς,4,4,0
2960,ἀκτῇ,3,1,2
2961,ἐφ,47,34,13
2962,ὑψηλῇ,3,3,0
2963,προβλῆτι,2,2,0
2964,σκοπέλῳ,3,1,2
2965,λείπει,1,1,0
2966,παντοίων,6,2,4
2967,ἀνέμων,25,11,14
2968,γένωνται,2,2,0
2969,ἀνστάντες,8,2,6
2970,ὀρέοντο,2,2,0
2971,κεδασθέντες,2,2,0
2972,κάπνισσάν,1,1,0
2973,ἕλοντο,22,11,11
2974,ἔρεζε,1,1,0
2975,αἰειγενετάων,7,5,2
2976,φυγεῖν,2,2,0
2977,μῶλον,5,5,0
2978,βοῦν,24,10,14
2979,ἱέρευσε,1,1,0
2980,πενταέτηρον,4,2,2
2981,κίκλησκεν,1,1,0
2982,γέροντας,4,3,1
2983,ἀριστῆας,8,5,3
2984,Παναχαιῶν,8,8,0
2985,Νέστορα,9,7,2
2986,Ἰδομενῆα,17,14,3
2987,Αἴαντε,17,17,0
2988,Τυδέος,32,31,1
2989,ἕκτον,1,1,0
2990,αὐτόματος,1,1,0
2991,βοήν,53,43,10
2992,Μενέλαος,94,62,32
2993,ᾔδεε,4,4,0
2994,ἀδελφεόν,8,6,2
2995,ἐπονεῖτο,4,3,1
2996,περιστήσαντο,1,1,0
2997,μέγιστε,6,6,0
2998,κελαινεφές,11,8,3
2999,αἰθέρι,6,5,1
3000,ναίων,14,8,6
3001,δῦναι,7,6,1
3002,ἐλθεῖν,31,17,14
3003,πρηνές,1,1,0
3004,βαλέειν,17,11,6
3005,μέλαθρον,4,2,2
3006,αἰθαλόεν,1,1,0
3007,πρῆσαι,1,1,0
3008,πυρός,50,34,16
3009,δηΐοιο,5,5,0
3010,θύρετρα,4,1,3
3011,Ἑκτόρεον,1,1,0
3012,στήθεσσι,71,43,28
3013,δαΐξαι,2,2,0
3014,χαλκῷ,125,90,35
3015,ῥωγαλέον,1,1,0
3016,πολέες,22,19,3
3017,ἑταῖροι,77,25,52
3018,πρηνέες,3,3,0
3019,κονίῃσιν,14,11,3
3020,ὀδάξ,9,5,4
3021,λαζοίατο,1,1,0
3022,ἐπεκραίαινε,2,2,0
3023,δέκτο,2,2,0
3024,ἱρά,7,4,3
3025,πόνον,20,17,3
3026,ἀμέγαρτον,3,1,2
3027,σχίζῃσιν,1,1,0
3028,ἀφύλλοισιν,1,1,0
3029,κατέκαιον,1,1,0
3030,ἀμπείραντες,1,1,0
3031,ὑπείρεχον,1,1,0
3032,Ἡφαίστοιο,23,13,10
3033,μύθων,45,12,33
3034,μηκέτι,18,9,9
3035,δήθ,4,2,2
3036,λεγώμεθα,5,3,2
3037,ἀμβαλλώμεθα,1,1,0
3038,ἐγγυαλίζει,1,1,0
3039,κηρύσσοντες,1,1,0
3040,ἀγειρόντων,1,1,0
3041,ἀθρόοι,12,5,7
3042,ἴομεν,27,14,13
3043,θᾶσσον,23,11,12
3044,ἐγείρομεν,7,7,0
3045,ὀξύν,14,10,4
3046,ἀπίθησεν,8,7,1
3047,διοτρεφέες,3,2,1
3048,θῦνον,2,2,0
3049,κρίνοντες,1,1,0
3050,αἰγίδ,3,2,1
3051,ἔχουσ,8,3,5
3052,ἐρίτιμον,2,2,0
3053,ἀγήρων,1,1,0
3054,ἀθανάτην,2,1,1
3055,τῆς,58,30,28
3056,ἑκατόν,9,9,0
3057,θύσανοι,1,1,0
3058,παγχρύσεοι,1,1,0
3059,ἠερέθονται,3,3,0
3060,ἐϋπλεκέες,1,1,0
3061,ἑκατόμβοιος,1,1,0
3062,παιφάσσουσα,1,1,0
3063,διέσσυτο,6,5,1
3064,σθένος,21,19,2
3065,ὦρσεν,17,14,3
3066,καρδίῃ,3,3,0
3067,ἄλληκτον,1,1,0
3068,πόλεμος,11,11,0
3069,γλαφυρῇσι,8,6,2
3070,πῦρ,63,41,22
3071,ἀΐδηλον,6,4,2
3072,ἐπιφλέγει,1,1,0
3073,ἄσπετον,14,9,5
3074,ὕλην,23,16,7
3075,οὔρεος,7,7,0
3076,κορυφῇς,1,1,0
3077,ἕκαθεν,4,3,1
3078,φαίνεται,7,2,5
3079,αὐγή,5,4,1
3080,ἐρχομένων,5,5,0
3081,αἴγλη,5,2,3
3082,παμφανόωσα,1,1,0
3083,δι,44,32,12
3084,αἰθέρος,9,7,2
3085,ἷκε,4,4,0
3086,ὀρνίθων,2,2,0
3087,πετεηνῶν,9,8,1
3088,χηνῶν,2,2,0
3089,γεράνων,3,3,0
3090,κύκνων,2,2,0
3091,δουλιχοδείρων,2,2,0
3092,Ἀσίω,1,1,0
3093,λειμῶνι,5,3,2
3094,Καϋστρίου,1,1,0
3095,ῥέεθρα,23,19,4
3096,ποτῶνται,1,1,0
3097,ἀγαλλόμενα,1,1,0
3098,πτερύγεσσι,1,1,0
3099,κλαγγηδόν,1,1,0
3100,προκαθιζόντων,1,1,0
3101,λειμών,3,1,2
3102,πεδίον,45,39,6
3103,προχέοντο,3,3,0
3104,Σκαμάνδριον,3,3,0
3105,χθών,11,10,1
3106,κονάβιζε,3,2,1
3107,ἵππων,91,84,7
3108,Σκαμανδρίῳ,1,1,0
3109,ἀνθεμόεντι,2,1,1
3110,μυρίοι,8,3,5
3111,ὅσσά,8,8,0
3112,ἄνθεα,3,1,2
3113,γίγνεται,24,12,12
3114,ὥρῃ,8,3,5
3115,μυιάων,1,1,0
3116,σταθμόν,13,2,11
3117,ποιμνήϊον,1,1,0
3118,ἠλάσκουσιν,1,1,0
3119,εἰαρινῇ,4,2,2
3120,γλάγος,2,2,0
3121,ἄγγεα,4,2,2
3122,δεύει,2,2,0
3123,τόσσοι,5,2,3
3124,πεδίῳ,23,18,5
3125,ἵσταντο,9,7,2
3126,διαρραῖσαι,4,4,0
3127,μεμαῶτες,11,8,3
3128,αἰπόλια,4,2,2
3129,πλατέ,4,2,2
3130,αἰπόλοι,1,1,0
3131,ῥεῖα,32,22,10
3132,διακρίνωσιν,1,1,0
3133,νομῷ,1,1,0
3134,μιγέωσιν,1,1,0
3135,ἡγεμόνες,7,7,0
3136,διεκόσμεον,1,1,0
3137,ὑσμίνην,12,12,0
3138,ὄμματα,10,6,4
3139,ἴκελος,5,3,2
3140,Ἄρεϊ,1,1,0
3141,ζώνην,5,2,3
3142,στέρνον,4,4,0
3143,Ποσειδάωνι,18,5,13
3144,ἀγέληφι,2,2,0
